IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.9.10.101,010.009.010.101,SCSPA\\HQ3-336,HQ3-336.scspa.local,b88584a733da,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.103,010.009.010.103,SCSPA\\HQ2-AHF,HQ2-AHF.scspa.local,14b31f1c6f15,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.110,010.009.010.110,SCSPA\\HQ1-PP8,HQ1-PP8.scspa.local,6c2b59cd56b8,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.112,010.009.010.112,SCSPA\\HQ1-AV002,HQ1-AV002.scspa.local,54bf648c6a32,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.114,010.009.010.114,SCSPA\\HQ1-PP9,HQ1-PP9.scspa.local,6c2b59d79c9f,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows Machine,Windows 10 64-bit Enterprise
10.9.10.115,010.009.010.115,SCSPA\\HQ3-315,HQ3-315.scspa.local,b88584a70c6a,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.125,010.009.010.125,SCSPA\\HQ1-CAFE3,HQ1-CAFE3.scspa.local,54bf648c74df,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.128,010.009.010.128,SCSPA\\HQ3-331,HQ3-331.scspa.local,b88584a76cf7,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.129,010.009.010.129,SCSPA\\HQ3-306,HQ3-306.scspa.local,b88584a70e42,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.131,010.009.010.131,SCSPA\\W-WWT451-WAR3,W-WWT451-WAR3.scspa.local,1866da0b7068,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Professional]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Professional,Windows 10 64-bit Professional
10.9.10.132,010.009.010.132,SCSPA\\HQ1-PPRMS,HQ1-PPRMS.scspa.local,484d7ee75433,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.133,010.009.010.133,SCSPA\\HQ3-MDY,HQ3-MDY.scspa.local,1866da17319b,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.135,010.009.010.135,SCSPA\\HQ3-AV001,HQ3-AV001.scspa.local,54bf648c72d5,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.136,010.009.010.136,SCSPA\\HQ3-325,HQ3-325.scspa.local,b88584a6b0b5,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.137,010.009.010.137,SCSPA\\L-HQ2-WLA,L-HQ2-WLA.scspa.local,c8f750cb3644,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Professional]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Professional,Windows 10 64-bit Professional
10.9.10.138,010.009.010.138,SCSPA\\HQ3-303,HQ3-303.scspa.local,b88584a7f17c,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.139,010.009.010.139,SCSPA\\V-HQ3-SC2,V-HQ3-SC2.scspa.local,000c29d912f9,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[VMware],Windows,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.140,010.009.010.140,SCSPA\\HQ3-SC5,HQ3-SC5.scspa.local,6c2b59d84ac6,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.142,010.009.010.142,SCSPA\\L-HQ3-MMC,L-HQ3-MMC.scspa.local,949aa927df82,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Microsoft],Windows,microsoft corporation,MICROSOFT CORPORATION,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.144,010.009.010.144,SCSPA\\HQ3-324B,HQ3-324B.scspa.local,b88584a7b683,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.146,010.009.010.146,SCSPA\\W-WWT448-MME,W-WWT448-MME.scspa.local,509a4c046ace,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.148,010.009.010.148,SCSPA\\HQ4-412B,HQ4-412B.scspa.local,b88584a71003,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.151,010.009.010.151,SCSPA\\HQ2-207,HQ2-207.scspa.local,b88584a6b0ae,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.152,010.009.010.152,SCSPA\\HQ2-231,HQ2-231.scspa.local,b88584a7f220,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.153,010.009.010.153,SCSPA\\V-HQ3-SC6,V-HQ3-SC6.scspa.local,000c29aa2430,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[VMware],Windows,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.154,010.009.010.154,SCSPA\\HQ2-TERMOPS,HQ2-TERMOPS.scspa.local,54bf649183a0,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.156,010.009.010.156,SCSPA\\HQ2-OPS6,HQ2-Ops6.scspa.local,6c2b59da5f14,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.157,010.009.010.157,SCSPA\\HQ3-304,HQ3-304.scspa.local,b88584a80094,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.158,010.009.010.158,SCSPA\\HQ2-219,HQ2-219.scspa.local,b88584a6b5c9,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.159,010.009.010.159,SCSPA\\HQ1-136,HQ1-136.scspa.local,b88584a6a9fd,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.161,010.009.010.161,SCSPA\\HQ2-204,HQ2-204.scspa.local,b88584a7c579,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.162,010.009.010.162,SCSPA\\HQ2-225,HQ2-225.scspa.local,b88584a70557,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.165,010.009.010.165,SCSPA\\L-HQ3-DGR,L-HQ3-DGR.scspa.local,c8f750dd5934,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.166,010.009.010.166,SCSPA\\HQ3-JBR,HQ3-JBR.scspa.local,54bf6479ed9c,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.167,010.009.010.167,SCSPA\\HQ1-PP1,HQ1-PP1.scspa.local,6c2b59d7a365,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.177,010.009.010.177,SCSPA\\L-HQ1-BMI,L-HQ1-BMI.scspa.local,8c04ba900f11,"[Information Technology, Computer]","[Windows, Windows 10]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows Machine,
10.9.10.179,010.009.010.179,SCSPA\\W-WWT442-MS,W-WWT442-MS.scspa.local,509a4c582138,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.180,010.009.010.180,SCSPA\\HQ1-PP7,HQ1-PP7.scspa.local,6c2b59d79c96,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.181,010.009.010.181,SCSPA\\W-CST160-GCO,W-CST160-GCO.scspa.local,989096c5897b,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.184,010.009.010.184,SCSPA\\HQ2-JBR,HQ2-JBR.scspa.local,54bf649809fb,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.188,010.009.010.188,SCSPA\\L-HQ3-ABA,L-HQ3-ABA.scspa.local,c8f750dd5b15,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.191,010.009.010.191,SCSPA\\L-HQ3-SGE,L-HQ3-SGE.scspa.local,c8f750dd5936,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]","[Dell, Dell PC]",Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.193,010.009.010.193,SCSPA\\HQ2-TPU,HQ2-TPU.scspa.local,180373b97e6f,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.195,010.009.010.195,SCSPA\\HQ1-RMI,HQ1-RMI.scspa.local,64006a7b7149,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.198,010.009.010.198,SCSPA\\HQ2-KNE,HQ2-KNE.scspa.local,989096deacb9,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.199,010.009.010.199,SCSPA\\V-NCTYMS-1,V-NCTYMS-1.scspa.local,00505681935a,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]","[VMware, VMware Virtual Machine]",Windows,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.9.10.202,010.009.010.202,SCSPA\\HQ1-AV003,HQ1-AV003.scspa.local,54bf648c728e,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.204,010.009.010.204,SCSPA\\HQ2-TBO,HQ2-TBO.scspa.local,54bf6496b244,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.206,010.009.010.206,SCSPA\\HQ1-132,HQ1-132.scspa.local,b88584a6aa3f,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
