IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.1.4.62,010.001.004.062,10.1.4.62,,98f2b3217dac,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.63,010.001.004.063,10.1.4.63,,98f2b3e3fa5a,"[Information Technology, Computer]",[Linux],[HP],,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Linux Desktop/Server,Linux 3.2 - 3.10 or Linux 3.2 - 3.13,
10.1.4.65,010.001.004.065,10.1.4.65,,20677cdb7390,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.66,010.001.004.066,10.1.4.66,,20677cdb7354,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.67,010.001.004.067,10.1.4.67,,20677cdb739a,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.68,010.001.004.068,10.1.4.68,,98f2b321bd56,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.69,010.001.004.069,10.1.4.69,,20677cda791c,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.70,010.001.004.070,10.1.4.70,,20677cdb8308,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.71,010.001.004.071,10.1.4.71,,20677cdb7318,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.72,010.001.004.072,10.1.4.72,,20677cdb733a,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.73,010.001.004.073,10.1.4.73,,20677cdb7302,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.74,010.001.004.074,10.1.4.74,,20677cdb7396,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.75,010.001.004.075,10.1.4.75,,20677cda5f20,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
