IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.5.50.91,010.005.050.091,10.5.50.91,0,0090c2f16c7a,"[Information Technology, Networking]",[Unknown],[JK Microsystems],0,"jk microsystems, inc.","JK MICROSYSTEMS, INC.",Network Device,"Possibly ASUS RT-N11 EZ or D-Link DI-524 WAP, or LevelOne FBR-1415TX router or PCMeasure Ethernetbox environmental monitor or Rabbit microcontroller or Sagem My du@l radio 700 Internet radio or Sensatronics EM1 environmental monitor",0
10.5.50.92,010.005.050.092,10.5.50.92,0,001a070e778d,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,arecont vision,ARECONT VISION,0,0,0
10.5.50.93,010.005.050.093,10.5.50.93,0,001a070e777f,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,arecont vision,ARECONT VISION,0,0,0
10.5.50.94,010.005.050.094,10.5.50.94,0,accc8e85e82f,"[Operational Technology, Facilities, Physical Security, Surveillance, IP Camera]",[Linux],"[Axis, Axis Network Camera]",0,axis communications ab,AXIS COMMUNICATIONS AB,Linux Desktop/Server,Linux 3.2 - 4.0,0
10.5.50.95,010.005.050.095,10.5.50.95,0,183919001e6d,[Unknown],[Unknown],[Unknown],0,unicoi systems,UNICOI SYSTEMS,0,"Novatel MiFi 2200 3G WAP or iDirect Evolution X1 satellite router or Canon imageCLASS MF4500-, MF4700-, or MF4800-series printer or Elk ELK-M1EXP Ethernet-to-serial bridge or TechniSat Digicorder HD S2 satellite receiver or Brother MFC-7820N printer or Brother HL-5070N printer or Ricoh Aficio SP C210SF printer or Sony Bravia V5500-series TV or Geist RSMINI environment sensor or Kapsch electronic toll collection system;23/tcp Pocket CMD telnetd  ",0
10.5.50.100,010.005.050.100,WORKGROUP\\APSKSKSOIG03WWT,wwtib03.scspa.local,000bab857d8f,"[Information Technology, Computer]",[Windows],[Advantech],0,"advantech technology (china) co., ltd.","ADVANTECH TECHNOLOGY (CHINA) CO., LTD.",Windows Machine,135/tcp Microsoft Windows RPC  ;5900/tcp VNC  protocol 3.8,0
10.5.50.101,010.005.050.101,wwtib03_switch.scspa.local,wwtib03_switch.scspa.local,00c0f21f558e,"[Information Technology, Networking]",[Unknown],[Transition Networks],0,transition networks,TRANSITION NETWORKS,0,0,0
10.5.50.102,010.005.050.102,wwtib03-printer.scspa.local,wwtib03-printer.scspa.local,000ee20ba86e,"[Information Technology, Accessory, Printer]",[Unknown],[Unknown],0,custom engineering,CUSTOM ENGINEERING,0,Possibly Palmmicro AR1688 VoIP module or BinTec Brick-XM router or Funkwerk bintec R3000 router or BinTec BinGO! ISDN router or BinTec R3400 WAP or BinTec X4000 access router or Funkwerk Artem WI3040 WAP or Asus WL-500gP wireless broadband router or AXIS 5550 print server or Microsoft Windows 2000 SP4,0
10.5.50.103,010.005.050.103,10.5.50.103,0,00d0c9f4acaa,"[Information Technology, Networking]",[Unknown],[Advantech],0,"advantech co., ltd.","ADVANTECH CO., LTD.",Network Device,British Gas GS-Z3 data logger or lwIP 1.4.0 lightweight TCP/IP stack or Huawei S9300 switch or Cognex DataMan 200 ID reader (lwIP TCP/IP stack) or Philips Hue Bridge (lwIP stack) or Espressif WiFi system-on-a-chip or Milight WiFi Receiver bridge or Philips Hue Bridge (lwIP stack v1.4.0) or Rigol DSG3060 signal generator or Luminary Micro ARM Evaluation Kit,0
10.5.50.104,010.005.050.104,10.5.50.104,0,1.83919E+11,[Unknown],[Unknown],[Unknown],0,unicoi systems,UNICOI SYSTEMS,0,"Novatel MiFi 2200 3G WAP or iDirect Evolution X1 satellite router or Canon imageCLASS MF4500-, MF4700-, or MF4800-series printer or Brother HL-5070N printer or Elk ELK-M1EXP Ethernet-to-serial bridge or TechniSat Digicorder HD S2 satellite receiver or Ricoh Aficio SP C210SF printer or Brother MFC-7820N printer or Tripp Lite SMART1500SLT UPS, or PDUMV30HVNET or PDUMH15AT power distribution unit or Lexmark C500n color laser printer or Sony Bravia V5500-series TV;23/tcp Pocket CMD telnetd  ",0
